,0
2017-12-01 00:00:00+01:00,61.81
2017-12-01 01:00:00+01:00,49.34
2017-12-01 02:00:00+01:00,47.53
2017-12-01 03:00:00+01:00,49.14
2017-12-01 04:00:00+01:00,44.96
2017-12-01 05:00:00+01:00,55.27
2017-12-01 06:00:00+01:00,55.2
2017-12-01 07:00:00+01:00,89.35
2017-12-01 08:00:00+01:00,79.9
2017-12-01 09:00:00+01:00,94.39
2017-12-01 10:00:00+01:00,81.59
2017-12-01 11:00:00+01:00,78.6
2017-12-01 12:00:00+01:00,82.19
2017-12-01 13:00:00+01:00,79.51
2017-12-01 14:00:00+01:00,78.23
2017-12-01 15:00:00+01:00,78.45
2017-12-01 16:00:00+01:00,76.6
2017-12-01 17:00:00+01:00,85.69
2017-12-01 18:00:00+01:00,85.79
2017-12-01 19:00:00+01:00,80.32
2017-12-01 20:00:00+01:00,75.05
2017-12-01 21:00:00+01:00,61.87
2017-12-01 22:00:00+01:00,61.75
2017-12-01 23:00:00+01:00,52.32
2017-12-02 00:00:00+01:00,58.13
2017-12-02 01:00:00+01:00,48.25
2017-12-02 02:00:00+01:00,46.82
2017-12-02 03:00:00+01:00,46.29
2017-12-02 04:00:00+01:00,45.71
2017-12-02 05:00:00+01:00,44.19
2017-12-02 06:00:00+01:00,45.8
2017-12-02 07:00:00+01:00,52.82
2017-12-02 08:00:00+01:00,52.26
2017-12-02 09:00:00+01:00,63.34
2017-12-02 10:00:00+01:00,63.87
2017-12-02 11:00:00+01:00,63.45
2017-12-02 12:00:00+01:00,60.44
2017-12-02 13:00:00+01:00,49.51
2017-12-02 14:00:00+01:00,48.61
2017-12-02 15:00:00+01:00,48.66
2017-12-02 16:00:00+01:00,58.59
2017-12-02 17:00:00+01:00,77.38
2017-12-02 18:00:00+01:00,72.28
2017-12-02 19:00:00+01:00,53.67
2017-12-02 20:00:00+01:00,50.76
2017-12-02 21:00:00+01:00,54.46
2017-12-02 22:00:00+01:00,51.03
2017-12-02 23:00:00+01:00,46.88
2017-12-03 00:00:00+01:00,43.22
2017-12-03 01:00:00+01:00,45.25
2017-12-03 02:00:00+01:00,47.31
2017-12-03 03:00:00+01:00,49.85
2017-12-03 04:00:00+01:00,48.75
2017-12-03 05:00:00+01:00,48.42
2017-12-03 06:00:00+01:00,49.57
2017-12-03 07:00:00+01:00,47.72
2017-12-03 08:00:00+01:00,50.23
2017-12-03 09:00:00+01:00,52.75
2017-12-03 10:00:00+01:00,59.13
2017-12-03 11:00:00+01:00,60.96
2017-12-03 12:00:00+01:00,51.09
2017-12-03 13:00:00+01:00,60.25
2017-12-03 14:00:00+01:00,57.25
2017-12-03 15:00:00+01:00,56.38
2017-12-03 16:00:00+01:00,57.31
2017-12-03 17:00:00+01:00,70.6
2017-12-03 18:00:00+01:00,63.54
2017-12-03 19:00:00+01:00,54.62
2017-12-03 20:00:00+01:00,61.3
2017-12-03 21:00:00+01:00,51.44
2017-12-03 22:00:00+01:00,50.0
2017-12-03 23:00:00+01:00,54.64
2017-12-04 00:00:00+01:00,61.9
2017-12-04 01:00:00+01:00,48.33
2017-12-04 02:00:00+01:00,45.67
2017-12-04 03:00:00+01:00,45.68
2017-12-04 04:00:00+01:00,42.0
2017-12-04 05:00:00+01:00,50.76
2017-12-04 06:00:00+01:00,51.39
2017-12-04 07:00:00+01:00,65.26
2017-12-04 08:00:00+01:00,94.67
2017-12-04 09:00:00+01:00,99.62
2017-12-04 10:00:00+01:00,81.95
2017-12-04 11:00:00+01:00,94.13
2017-12-04 12:00:00+01:00,99.56
